Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date,Host_Country,Innings_Team1,Innings_Team2
ODI # 2575,Ireland,Sri Lanka,Sri Lanka,8 wickets,St George's,18-Apr-07,Pakistan,First,Second
ODI # 2576,West Indies,Bangladesh,West Indies,99 runs,Bridgetown,19-Apr-07,Pakistan,Second,First
ODI # 2577,Australia,New Zealand,Australia,215 runs,St George's,20-Apr-07,Pakistan,First,Second
ODI # 2578,West Indies,England,England,1 wicket,Bridgetown,21-Apr-07,Bangladesh,Second,First
ODI # 2579,New Zealand,Sri Lanka,Sri Lanka,81 runs,Kingston,24-Apr-07,Bangladesh,First,Second
ODI # 2580,Australia,South Africa,Australia,7 wickets,Gros Islet,25-Apr-07,Bangladesh,First,Second
ODI # 2581,Australia,Sri Lanka,Australia,53 runs,Bridgetown,28-Apr-07,Bangladesh,Second,First
ODI # 2582,Bangladesh,India,India,5 wickets,Dhaka,10-May-07,England,First,Second
ODI # 2583,Bangladesh,India,India,46 runs,Dhaka,12-May-07,England,Second,First
ODI # 2584,Pakistan,Sri Lanka,Pakistan,5 wickets,Abu Dhabi,18-May-07,Pakistan,First,Second
ODI # 2585,Pakistan,Sri Lanka,Pakistan,98 runs,Abu Dhabi,20-May-07,Pakistan,First,Second
ODI # 2586,Pakistan,Sri Lanka,Sri Lanka,115 runs,Abu Dhabi,22-May-07,West Indies,Second,First
ODI # 2587,Africa XI,Asia XI,Asia XI,34 runs,Bengaluru,6-Jun-07,Pakistan,Second,First
ODI # 2588,Africa XI,Asia XI,Asia XI,31 runs,Chennai,9-Jun-07,Pakistan,Second,First
ODI # 2589,Africa XI,Asia XI,Asia XI,13 runs,Chennai,10-Jun-07,England,First,Second
ODI # 2590,Ireland,India,India,9 wickets,Belfast,23-Jun-07,Pakistan,First,Second
ODI # 2591,Ireland,South Africa,South Africa,42 runs,Belfast,24-Jun-07,Pakistan,First,Second
ODI # 2592,India,South Africa,South Africa,4 wickets,Belfast,26-Jun-07,West Indies,Second,First
ODI # 2593,India,South Africa,India,6 wickets,Belfast,29-Jun-07,England,Second,First
ODI # 2594,England,West Indies,England,79 runs,Lord's,1-Jul-07,Pakistan,First,Second
ODI # 2595,India,South Africa,India,6 wickets,Belfast,1-Jul-07,Canada,First,Second
ODI # 2596,Canada,Netherlands,Netherlands,117 runs,Toronto,3-Jul-07,Pakistan,Second,First
ODI # 2597,England,West Indies,West Indies,61 runs,Birmingham,4-Jul-07,West Indies,First,Second
ODI # 2598,England,West Indies,West Indies,93 runs,Nottingham,7-Jul-07,Canada,Second,First
ODI # 2599,Netherlands,West Indies,West Indies,10 wickets,Dublin,10-Jul-07,Pakistan,Second,First
ODI # 2600,Ireland,Netherlands,Ireland,1 run,Belfast,11-Jul-07,Scotland,Second,First
ODI # 2601,Scotland,West Indies,West Indies,4 wickets,Dublin,12-Jul-07,Canada,First,Second
ODI # 2602,Netherlands,Scotland,no result,,Belfast,13-Jul-07,Scotland,Second,First
ODI # 2603,Ireland,West Indies,no result,,Dublin,14-Jul-07,Pakistan,Second,First
ODI # 2604,Ireland,Scotland,Ireland,23 runs,Belfast,15-Jul-07,Scotland,First,Second
ODI # 2605,Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (PSS),20-Jul-07,Pakistan,Second,First
ODI # 2606,Sri Lanka,Bangladesh,Sri Lanka,5 wickets,Colombo (RPS),23-Jul-07,Pakistan,Second,First
ODI # 2607,Sri Lanka,Bangladesh,Sri Lanka,39 runs,Colombo (RPS),25-Jul-07,West Indies,Second,First
ODI # 2608,Scotland,India,India,7 wickets,Glasgow,16-Aug-07,Pakistan,Second,First
ODI # 2609,Netherlands,Bermuda,Netherlands,172 runs,Rotterdam,18-Aug-07,West Indies,Second,First
ODI # 2610,Netherlands,Bermuda,Netherlands,8 wickets,Rotterdam,20-Aug-07,Ireland,Second,First
ODI # 2611,England,India,England,104 runs,Southampton,21-Aug-07,Ireland,First,Second
ODI # 2612,Zimbabwe,South Africa,South Africa,5 wickets,Bulawayo,22-Aug-07,Ireland,Second,First
ODI # 2613,England,India,India,9 runs,Bristol,24-Aug-07,Netherlands,Second,First
ODI # 2614,Zimbabwe,South Africa,South Africa,8 wickets,Harare,25-Aug-07,Sri Lanka,Second,First
ODI # 2615,Zimbabwe,South Africa,South Africa,28 runs,Harare,26-Aug-07,Canada,First,Second
ODI # 2616,England,India,England,42 runs,Birmingham,27-Aug-07,Sri Lanka,First,Second
ODI # 2617,England,India,England,3 wickets,Manchester,30-Aug-07,Canada,First,Second
ODI # 2618,England,India,India,38 runs,Leeds,2-Sep-07,Netherlands,Second,First
ODI # 2619,England,India,India,2 wickets,The Oval,5-Sep-07,England,First,Second
ODI # 2620,England,India,England,7 wickets,Lord's,8-Sep-07,Canada,Second,First
ODI # 2621,India,Australia,no result,,Bengaluru,29-Sep-07,Sri Lanka,Second,First
ODI # 2622,Sri Lanka,England,Sri Lanka,119 runs,Dambulla,1-Oct-07,Ireland,First,Second
ODI # 2623,India,Australia,Australia,84 runs,Kochi,2-Oct-07,Canada,First,Second
ODI # 2624,Sri Lanka,England,England,65 runs,Dambulla,4-Oct-07,England,Second,First
ODI # 2625,India,Australia,Australia,47 runs,Hyderabad (Deccan),5-Oct-07,Sri Lanka,Second,First
ODI # 2626,Sri Lanka,England,England,2 wickets,Dambulla,7-Oct-07,Sri Lanka,First,Second
ODI # 2627,India,Australia,India,8 runs,Chandigarh,8-Oct-07,England,First,Second
ODI # 2628,Sri Lanka,England,England,5 wickets,Colombo (RPS),10-Oct-07,Australia,First,Second
ODI # 2629,India,Australia,Australia,9 wickets,Vadodara,11-Oct-07,England,Second,First
ODI # 2630,Sri Lanka,England,Sri Lanka,107 runs,Colombo (RPS),13-Oct-07,Australia,Second,First
ODI # 2631,India,Australia,Australia,18 runs,Nagpur,14-Oct-07,Australia,First,Second
ODI # 2632,India,Australia,India,2 wickets,Mumbai,17-Oct-07,Bangladesh,Second,First
ODI # 2633,Pakistan,South Africa,South Africa,45 runs,Lahore,18-Oct-07,Bangladesh,Second,First
ODI # 2634,Kenya,Canada,Kenya,4 wickets,Nairobi (Gym),18-Oct-07,Bangladesh,Second,First
ODI # 2635,Pakistan,South Africa,Pakistan,25 runs,Lahore,20-Oct-07,Kenya,Second,First
ODI # 2636,Kenya,Canada,Kenya,4 wickets,Nairobi (Gym),20-Oct-07,Kenya,Second,First
ODI # 2637,Pakistan,South Africa,Pakistan,6 wickets,Faisalabad,23-Oct-07,Kenya,First,Second
ODI # 2638,Kenya,Bermuda,Kenya,8 wickets,Nairobi (Gym),25-Oct-07,South Africa,First,Second
ODI # 2639,Pakistan,South Africa,South Africa,7 wickets,Multan,26-Oct-07,South Africa,Second,First
ODI # 2640,Kenya,Bermuda,Kenya,3 wickets,Nairobi (Gym),27-Oct-07,South Africa,First,Second
ODI # 2641,Kenya,Bermuda,Kenya,1 wicket,Nairobi (Gym),28-Oct-07,South Africa,First,Second
ODI # 2642,Pakistan,South Africa,South Africa,14 runs,Lahore,29-Oct-07,U.A.E.,Second,First
ODI # 2643,India,Pakistan,India,5 wickets,Guwahati,5-Nov-07,India,First,Second
ODI # 2644,India,Pakistan,Pakistan,4 wickets,Mohali,8-Nov-07,U.A.E.,First,Second
ODI # 2645,India,Pakistan,India,46 runs,Kanpur,11-Nov-07,U.A.E.,First,Second
ODI # 2646,India,Pakistan,India,6 wickets,Gwalior,15-Nov-07,India,First,Second
ODI # 2647,India,Pakistan,Pakistan,31 runs,Jaipur,18-Nov-07,India,First,Second
ODI # 2648,South Africa,New Zealand,South Africa,2 wickets,Durban,25-Nov-07,Zimbabwe,First,Second
ODI # 2649,Zimbabwe,West Indies,Zimbabwe,30 runs,Harare,30-Nov-07,Zimbabwe,First,Second
ODI # 2650,South Africa,New Zealand,New Zealand,7 wickets,Port Elizabeth,30-Nov-07,India,First,Second
ODI # 2651,Zimbabwe,West Indies,West Indies,110 runs,Harare,2-Dec-07,Zimbabwe,Second,First
ODI # 2652,South Africa,New Zealand,South Africa,5 wickets,Cape Town,2-Dec-07,India,Second,First
ODI # 2653,Zimbabwe,West Indies,West Indies,6 wickets,Harare,4-Dec-07,Zimbabwe,First,Second
ODI # 2654,Zimbabwe,West Indies,West Indies,5 wickets,Bulawayo,7-Dec-07,Zimbabwe,Second,First
ODI # 2655,Australia,New Zealand,Australia,7 wickets,Adelaide,14-Dec-07,New Zealand,First,Second
ODI # 2656,Australia,New Zealand,no result,,Sydney,16-Dec-07,New Zealand,Second,First
ODI # 2657,Australia,New Zealand,Australia,114 runs,Hobart,20-Dec-07,Bangladesh,Second,First
ODI # 2658,New Zealand,Bangladesh,New Zealand,6 wickets,Auckland,26-Dec-07,Bangladesh,First,Second
ODI # 2659,New Zealand,Bangladesh,New Zealand,102 runs,Napier,28-Dec-07,New Zealand,First,Second
ODI # 2660,New Zealand,Bangladesh,New Zealand,10 wickets,Queenstown,31-Dec-07,Bangladesh,Second,First
ODI # 2661,South Africa,West Indies,South Africa,6 wickets,Centurion,20-Jan-08,Bangladesh,First,Second
ODI # 2662,Pakistan,Zimbabwe,Pakistan,104 runs,Karachi,21-Jan-08,Australia,First,Second
ODI # 2663,Pakistan,Zimbabwe,Pakistan,5 wickets,Hyderabad (Sind),24-Jan-08,Australia,First,Second
ODI # 2664,South Africa,West Indies,South Africa,86 runs,Cape Town,25-Jan-08,Bangladesh,First,Second
ODI # 2665,Pakistan,Zimbabwe,Pakistan,37 runs,Multan,27-Jan-08,Pakistan,Second,First
ODI # 2666,South Africa,West Indies,South Africa,7 wickets,Port Elizabeth,27-Jan-08,Bangladesh,Second,First
ODI # 2667,Pakistan,Zimbabwe,Pakistan,7 wickets,Faisalabad,30-Jan-08,Pakistan,Second,First
ODI # 2668,South Africa,West Indies,South Africa,5 wickets,Durban,1-Feb-08,Bangladesh,Second,First
ODI # 2669,Pakistan,Zimbabwe,Pakistan,7 wickets,Sheikhupura,2-Feb-08,Australia,First,Second
ODI # 2670,Australia,India,no result,,Brisbane,3-Feb-08,Pakistan,Second,First
ODI # 2671,South Africa,West Indies,South Africa,8 wickets,Johannesburg,3-Feb-08,Australia,First,Second
ODI # 2672,India,Sri Lanka,no result,,Brisbane,5-Feb-08,Kenya,Second,First
ODI # 2673,Australia,Sri Lanka,Australia,128 runs,Sydney,8-Feb-08,Sri Lanka,First,Second
ODI # 2674,New Zealand,England,New Zealand,6 wickets,Wellington,9-Feb-08,Kenya,Second,First
ODI # 2675,Australia,India,India,5 wickets,Melbourne,10-Feb-08,Australia,Second,First
ODI # 2676,India,Sri Lanka,Sri Lanka,8 wickets,Canberra,12-Feb-08,Kenya,First,Second
ODI # 2677,New Zealand,England,New Zealand,10 wickets,Hamilton,12-Feb-08,Sri Lanka,Second,First
ODI # 2678,New Zealand,England,England,6 wickets,Auckland,15-Feb-08,Australia,First,Second
ODI # 2679,Australia,Sri Lanka,Australia,63 runs,Perth,15-Feb-08,Kenya,Second,First
ODI # 2680,Australia,India,Australia,50 runs,Adelaide,17-Feb-08,Sri Lanka,Second,First
ODI # 2681,India,Sri Lanka,India,2 wickets,Adelaide,19-Feb-08,Kenya,First,Second
ODI # 2682,New Zealand,England,tied,,Napier,20-Feb-08,Sri Lanka,Second,First
ODI # 2683,Australia,Sri Lanka,Australia,24 runs,Melbourne,22-Feb-08,Australia,First,Second
ODI # 2684,New Zealand,England,New Zealand,34 runs,Christchurch,23-Feb-08,Australia,First,Second
ODI # 2685,Australia,India,Australia,18 runs,Sydney,24-Feb-08,Sri Lanka,First,Second
ODI # 2686,India,Sri Lanka,India,7 wickets,Hobart,26-Feb-08,Australia,Second,First
ODI # 2687,Australia,Sri Lanka,Sri Lanka,13 runs,Melbourne,29-Feb-08,New Zealand,Second,First
ODI # 2688,Australia,India,India,6 wickets,Sydney,2-Mar-08,New Zealand,Second,First
ODI # 2689,Australia,India,India,9 runs,Brisbane,4-Mar-08,New Zealand,Second,First
ODI # 2690,Bangladesh,South Africa,South Africa,9 wickets,Chittagong,9-Mar-08,New Zealand,Second,First
ODI # 2691,Bangladesh,South Africa,South Africa,7 wickets,Dhaka,12-Mar-08,West Indies,Second,First
ODI # 2692,Bangladesh,South Africa,South Africa,7 wickets,Dhaka,14-Mar-08,West Indies,First,Second
ODI # 2693,Bangladesh,Ireland,Bangladesh,8 wickets,Dhaka,18-Mar-08,West Indies,Second,First
ODI # 2694,Bangladesh,Ireland,Bangladesh,84 runs,Dhaka,20-Mar-08,West Indies,First,Second
ODI # 2695,Bangladesh,Ireland,Bangladesh,79 runs,Dhaka,22-Mar-08,South Africa,Second,First
ODI # 2696,Pakistan,Bangladesh,Pakistan,152 runs,Lahore,8-Apr-08,South Africa,First,Second
ODI # 2697,West Indies,Sri Lanka,West Indies,1 wicket,Port of Spain,10-Apr-08,South Africa,Second,First
ODI # 2698,Pakistan,Bangladesh,Pakistan,7 wickets,Faisalabad,11-Apr-08,West Indies,Second,First
ODI # 2699,West Indies,Sri Lanka,West Indies,7 wickets,Port of Spain,12-Apr-08,South Africa,Second,First
ODI # 2700,Pakistan,Bangladesh,Pakistan,23 runs,Lahore,13-Apr-08,South Africa,First,Second
ODI # 2701,West Indies,Sri Lanka,no result,,Gros Islet,15-Apr-08,South Africa,First,Second
ODI # 2702,Pakistan,Bangladesh,Pakistan,7 wickets,Multan,16-Apr-08,South Africa,Second,First
ODI # 2703,Pakistan,Bangladesh,Pakistan,150 runs,Karachi,19-Apr-08,South Africa,First,Second
ODI # 2704,Bangladesh,Pakistan,Pakistan,70 runs,Dhaka,8-Jun-08,South Africa,First,Second
ODI # 2705,India,Pakistan,India,140 runs,Dhaka,10-Jun-08,South Africa,First,Second
ODI # 2706,Bangladesh,India,India,7 wickets,Dhaka,12-Jun-08,South Africa,Second,First
ODI # 2707,India,Pakistan,Pakistan,25 runs,Dhaka,14-Jun-08,South Africa,First,Second
ODI # 2708,England,New Zealand,England,114 runs,Chester-le-Street,15-Jun-08,South Africa,First,Second
ODI # 2709,England,New Zealand,no result,,Birmingham,18-Jun-08,South Africa,First,Second
ODI # 2710,England,New Zealand,New Zealand,22 runs,Bristol,21-Jun-08,U.A.E.,First,Second
ODI # 2711,Bangladesh,U.A.E.,Bangladesh,96 runs,Lahore,24-Jun-08,U.A.E.,Second,First
ODI # 2712,Pakistan,Hong Kong,Pakistan,155 runs,Karachi,24-Jun-08,U.A.E.,First,Second
ODI # 2713,West Indies,Australia,Australia,84 runs,Kingstown,24-Jun-08,U.A.E.,Second,First
ODI # 2715,Bangladesh,Sri Lanka,Sri Lanka,131 runs,Lahore,25-Jun-08,U.A.E.,First,Second
ODI # 2716,Hong Kong,India,India,256 runs,Karachi,25-Jun-08,England,Second,First
ODI # 2714,England,New Zealand,New Zealand,1 wicket,The Oval,25-Jun-08,England,First,Second
ODI # 2717,Pakistan,India,India,6 wickets,Karachi,26-Jun-08,West Indies,Second,First
ODI # 2718,Sri Lanka,U.A.E.,Sri Lanka,142 runs,Lahore,26-Jun-08,West Indies,Second,First
ODI # 2719,West Indies,Australia,Australia,63 runs,St George's,27-Jun-08,West Indies,First,Second
ODI # 2720,England,New Zealand,New Zealand,51 runs,Lord's,28-Jun-08,Scotland,First,Second
ODI # 2721,Bangladesh,India,India,7 wickets,Karachi,28-Jun-08,Scotland,Second,First
ODI # 2722,Canada,Bermuda,Bermuda,3 wickets,King City (NW),28-Jun-08,Ireland,Second,First
ODI # 2723,Pakistan,Sri Lanka,Sri Lanka,64 runs,Karachi,29-Jun-08,Netherlands,First,Second
ODI # 2724,West Indies,Australia,Australia,7 wickets,St George's,29-Jun-08,Ireland,First,Second
ODI # 2725,Canada,Bermuda,Bermuda,11 runs,King City (NW),29-Jun-08,Ireland,First,Second
ODI # 2726,Bangladesh,Sri Lanka,Sri Lanka,158 runs,Karachi,30-Jun-08,West Indies,Second,First
ODI # 2727,Ireland,New Zealand,New Zealand,290 runs,Aberdeen,1-Jul-08,West Indies,First,Second
ODI # 2728,Canada,Bermuda,Canada,77 runs,King City (NW),1-Jul-08,Sri Lanka,First,Second
ODI # 2729,Scotland,Ireland,Scotland,5 wickets,Aberdeen,2-Jul-08,West Indies,First,Second
ODI # 2730,Pakistan,India,Pakistan,8 wickets,Karachi,2-Jul-08,Sri Lanka,Second,First
ODI # 2731,Scotland,New Zealand,New Zealand,8 wickets,Aberdeen,3-Jul-08,Sri Lanka,Second,First
ODI # 2732,India,Sri Lanka,India,6 wickets,Karachi,3-Jul-08,Sri Lanka,Second,First
ODI # 2733,Pakistan,Bangladesh,Pakistan,10 wickets,Karachi,4-Jul-08,Zimbabwe,First,Second
ODI # 2734,West Indies,Australia,Australia,1 run,Basseterre,4-Jul-08,Sri Lanka,Second,First
ODI # 2735,India,Sri Lanka,Sri Lanka,100 runs,Karachi,6-Jul-08,Zimbabwe,Second,First
ODI # 2736,West Indies,Australia,Australia,169 runs,Basseterre,6-Jul-08,Zimbabwe,First,Second
ODI # 2737,Ireland,Netherlands,Ireland,7 wickets,Dublin,28-Jul-08,Zimbabwe,First,Second
ODI # 2738,Netherlands,Scotland,Scotland,6 wickets,Dublin,29-Jul-08,Zimbabwe,First,Second
ODI # 2739,Ireland,Scotland,Ireland,7 wickets,Dublin,31-Jul-08,Canada,Second,First
ODI # 2740,Netherlands,Bermuda,Netherlands,6 wickets,Amstelveen,8-Aug-08,Scotland,Second,First
ODI # 2741,Scotland,Kenya,no result,,Ayr,12-Aug-08,Ireland,Second,First
ODI # 2742,Sri Lanka,India,Sri Lanka,8 wickets,Dambulla,18-Aug-08,Scotland,Second,First
ODI # 2743,Scotland,England,no result,,Edinburgh,18-Aug-08,Netherlands,First,Second
ODI # 2744,Canada,Bermuda,Canada,25 runs,King City (NW),18-Aug-08,Netherlands,First,Second
ODI # 2745,Sri Lanka,India,India,3 wickets,Dambulla,20-Aug-08,England,Second,First
ODI # 2746,Bermuda,West Indies,West Indies,6 wickets,King City (NW),20-Aug-08,England,Second,First
ODI # 2747,Netherlands,Kenya,Netherlands,6 wickets,Rotterdam,21-Aug-08,Sri Lanka,First,Second
ODI # 2748,England,South Africa,England,20 runs,Leeds,22-Aug-08,England,First,Second
ODI # 2749,Canada,West Indies,West Indies,49 runs,King City (NW),22-Aug-08,Sri Lanka,Second,First
ODI # 2750,Sri Lanka,India,India,33 runs,Colombo (RPS),24-Aug-08,Sri Lanka,First,Second
ODI # 2751,Ireland,Kenya,Ireland,33 runs,Belfast,24-Aug-08,England,First,Second
ODI # 2752,Canada,West Indies,West Indies,7 wickets,King City (NW),24-Aug-08,Sri Lanka,Second,First
ODI # 2753,Ireland,Kenya,no result,,Belfast,25-Aug-08,England,First,Second
ODI # 2754,England,South Africa,England,10 wickets,Nottingham,26-Aug-08,England,Second,First
ODI # 2755,Sri Lanka,India,India,46 runs,Colombo (RPS),27-Aug-08,England,Second,First
ODI # 2756,Sri Lanka,India,Sri Lanka,112 runs,Colombo (RPS),29-Aug-08,South Africa,Second,First
ODI # 2757,England,South Africa,England,126 runs,The Oval,29-Aug-08,South Africa,Second,First
ODI # 2758,Australia,Bangladesh,Australia,180 runs,Darwin,30-Aug-08,South Africa,Second,First
ODI # 2759,England,South Africa,England,7 wickets,Lord's,31-Aug-08,South Africa,Second,First
ODI # 2760,Australia,Bangladesh,Australia,8 wickets,Darwin,3-Sep-08,South Africa,First,Second
ODI # 2761,England,South Africa,no result,,Cardiff,3-Sep-08,South Africa,Second,First
ODI # 2762,Australia,Bangladesh,Australia,73 runs,Darwin,6-Sep-08,South Africa,First,Second
ODI # 2763,Bangladesh,New Zealand,Bangladesh,7 wickets,Dhaka,9-Oct-08,South Africa,Second,First
ODI # 2764,Bangladesh,New Zealand,New Zealand,75 runs,Dhaka,11-Oct-08,South Africa,First,Second
ODI # 2765,Bangladesh,New Zealand,New Zealand,79 runs,Chittagong,14-Oct-08,South Africa,Second,First
ODI # 2766,Ireland,Zimbabwe,Zimbabwe,156 runs,Nairobi (Gym),17-Oct-08,South Africa,Second,First
ODI # 2767,Kenya,Ireland,Ireland,86 runs,Nairobi (Gym),18-Oct-08,South Africa,Second,First
ODI # 2768,Kenya,Zimbabwe,Kenya,95 runs,Nairobi (Gym),19-Oct-08,South Africa,Second,First
ODI # 2769,South Africa,Kenya,South Africa,159 runs,Bloemfontein,31-Oct-08,South Africa,Second,First
ODI # 2770,South Africa,Kenya,South Africa,7 wickets,Kimberley,2-Nov-08,Zimbabwe,First,Second
ODI # 2771,South Africa,Bangladesh,South Africa,61 runs,Potchefstroom,7-Nov-08,Zimbabwe,First,Second
ODI # 2772,South Africa,Bangladesh,South Africa,128 runs,Benoni,9-Nov-08,Zimbabwe,Second,First
ODI # 2773,Pakistan,West Indies,Pakistan,4 wickets,Abu Dhabi,12-Nov-08,Zimbabwe,Second,First
ODI # 2774,India,England,India,158 runs,Rajkot,14-Nov-08,Zimbabwe,First,Second
ODI # 2775,Pakistan,West Indies,Pakistan,24 runs,Abu Dhabi,14-Nov-08,India,Second,First
ODI # 2776,Pakistan,West Indies,Pakistan,31 runs,Abu Dhabi,16-Nov-08,Bangladesh,First,Second
ODI # 2777,India,England,India,54 runs,Indore,17-Nov-08,India,First,Second
ODI # 2778,India,England,India,16 runs,Kanpur,20-Nov-08,Bangladesh,Second,First
ODI # 2779,Zimbabwe,Sri Lanka,Sri Lanka,6 wickets,Harare,20-Nov-08,Bangladesh,Second,First
ODI # 2780,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Harare,22-Nov-08,India,Second,First
ODI # 2781,India,England,India,19 runs,Bengaluru,23-Nov-08,,Second,First
ODI # 2782,Zimbabwe,Sri Lanka,Sri Lanka,5 runs,Harare,24-Nov-08,Bangladesh,Second,First
ODI # 2783,India,England,India,6 wickets,Cuttack,26-Nov-08,U.A.E.,Second,First
ODI # 2784,Zimbabwe,Sri Lanka,Sri Lanka,2 wickets,Harare,28-Nov-08,Bangladesh,Second,First
ODI # 2785,Zimbabwe,Sri Lanka,Sri Lanka,19 runs,Harare,30-Nov-08,India,Second,First
ODI # 2786,New Zealand,West Indies,no result,,Queenstown,31-Dec-08,U.A.E.,First,Second
ODI # 2787,New Zealand,West Indies,West Indies,5 wickets,Christchurch,3-Jan-09,India,First,Second
ODI # 2788,New Zealand,West Indies,New Zealand,7 wickets,Wellington,7-Jan-09,South Africa,First,Second
ODI # 2789,New Zealand,West Indies,no result,,Auckland,10-Jan-09,U.A.E.,First,Second
ODI # 2790,Bangladesh,Zimbabwe,Zimbabwe,38 runs,Dhaka,10-Jan-09,South Africa,First,Second
ODI # 2791,Sri Lanka,Zimbabwe,Sri Lanka,130 runs,Dhaka,12-Jan-09,South Africa,First,Second
ODI # 2792,New Zealand,West Indies,New Zealand,9 runs,Napier,13-Jan-09,South Africa,First,Second
ODI # 2793,Bangladesh,Sri Lanka,Bangladesh,5 wickets,Dhaka,14-Jan-09,South Africa,First,Second
ODI # 2794,Bangladesh,Sri Lanka,Sri Lanka,2 wickets,Dhaka,16-Jan-09,India,First,Second
ODI # 2795,Australia,South Africa,South Africa,3 wickets,Melbourne,16-Jan-09,India,First,Second
ODI # 2796,Australia,South Africa,Australia,5 runs,Hobart,18-Jan-09,India,Second,First
ODI # 2797,Bangladesh,Zimbabwe,Zimbabwe,2 wickets,Dhaka,19-Jan-09,India,Second,First
ODI # 2798,Pakistan,Sri Lanka,Pakistan,8 wickets,Karachi,20-Jan-09,Bangladesh,First,Second
ODI # 2799,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka,21-Jan-09,Bangladesh,First,Second
ODI # 2800,Pakistan,Sri Lanka,Sri Lanka,129 runs,Karachi,21-Jan-09,Bangladesh,First,Second
ODI # 2801,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka,23-Jan-09,Bangladesh,First,Second
ODI # 2802,Australia,South Africa,South Africa,3 wickets,Sydney,23-Jan-09,Bangladesh,Second,First
ODI # 2803,Pakistan,Sri Lanka,Sri Lanka,234 runs,Lahore,24-Jan-09,Bangladesh,First,Second
ODI # 2804,Australia,South Africa,South Africa,8 wickets,Adelaide,26-Jan-09,Bangladesh,First,Second
ODI # 2805,Kenya,Zimbabwe,Zimbabwe,109 runs,Mombasa,27-Jan-09,Australia,Second,First
ODI # 2806,Sri Lanka,India,India,6 wickets,Dambulla,28-Jan-09,Australia,First,Second
ODI # 2807,Kenya,Zimbabwe,Zimbabwe,151 runs,Mombasa,29-Jan-09,Australia,First,Second
ODI # 2808,Australia,South Africa,South Africa,39 runs,Perth,30-Jan-09,Australia,First,Second
ODI # 2809,Kenya,Zimbabwe,Zimbabwe,4 wickets,Nairobi (Gym),31-Jan-09,Australia,Second,First
ODI # 2810,Sri Lanka,India,India,15 runs,Colombo (RPS),31-Jan-09,New Zealand,First,Second
ODI # 2811,Australia,New Zealand,New Zealand,2 wickets,Perth,1-Feb-09,Australia,First,Second
ODI # 2812,Kenya,Zimbabwe,Zimbabwe,66 runs,Nairobi (Gym),1-Feb-09,New Zealand,Second,First
ODI # 2813,Sri Lanka,India,India,147 runs,Colombo (RPS),3-Feb-09,Australia,Second,First
ODI # 2814,Kenya,Zimbabwe,Zimbabwe,7 wickets,Nairobi (Gym),4-Feb-09,New Zealand,Second,First
ODI # 2815,Sri Lanka,India,India,67 runs,Colombo (RPS),5-Feb-09,Australia,First,Second
ODI # 2816,Australia,New Zealand,New Zealand,6 wickets,Melbourne,6-Feb-09,Kenya,Second,First
ODI # 2817,Australia,New Zealand,Australia,32 runs,Sydney,8-Feb-09,U.A.E.,First,Second
ODI # 2818,Sri Lanka,India,Sri Lanka,68 runs,Colombo (RPS),8-Feb-09,Kenya,Second,First
ODI # 2819,Australia,New Zealand,Australia,6 wickets,Adelaide,10-Feb-09,U.A.E.,First,Second
ODI # 2820,Australia,New Zealand,no result,,Brisbane,13-Feb-09,Australia,First,Second
ODI # 2821,New Zealand,India,India,53 runs,Napier,3-Mar-09,India,First,Second
ODI # 2822,New Zealand,India,no result,,Wellington,6-Mar-09,India,First,Second
ODI # 2823,New Zealand,India,India,58 runs,Christchurch,8-Mar-09,India,Second,First
ODI # 2824,New Zealand,India,India,84 runs,Hamilton,11-Mar-09,Bangladesh,First,Second
ODI # 2825,New Zealand,India,New Zealand,8 wickets,Auckland,14-Mar-09,Bangladesh,First,Second
ODI # 2826,West Indies,England,England,1 run,Providence,20-Mar-09,New Zealand,Second,First
ODI # 2827,West Indies,England,West Indies,21 runs,Providence,22-Mar-09,West Indies,Second,First
ODI # 2828,West Indies,England,West Indies,8 wickets,Bridgetown,27-Mar-09,Bangladesh,Second,First
ODI # 2829,West Indies,England,England,9 wickets,Bridgetown,29-Mar-09,New Zealand,Second,First
ODI # 2830,Ireland,Scotland,Ireland,7 wickets,Benoni,1-Apr-09,West Indies,Second,First
ODI # 2831,Kenya,Netherlands,Netherlands,7 wickets,Potchefstroom,1-Apr-09,New Zealand,First,Second
ODI # 2832,South Africa,Australia,Australia,141 runs,Durban,3-Apr-09,West Indies,First,Second
ODI # 2833,West Indies,England,England,26 runs,Gros Islet,3-Apr-09,New Zealand,First,Second
ODI # 2834,South Africa,Australia,South Africa,7 wickets,Centurion,5-Apr-09,West Indies,Second,First
ODI # 2835,Bermuda,Kenya,Kenya,7 wickets,Potchefstroom,6-Apr-09,New Zealand,First,Second
ODI # 2836,Canada,Ireland,Ireland,6 wickets,Benoni,6-Apr-09,West Indies,Second,First
ODI # 2837,Bermuda,Netherlands,Netherlands,63 runs,Potchefstroom,8-Apr-09,West Indies,First,Second
ODI # 2838,Canada,Scotland,Canada,148 runs,Benoni,8-Apr-09,West Indies,Second,First
ODI # 2839,South Africa,Australia,South Africa,25 runs,Cape Town,9-Apr-09,West Indies,Second,First
